id,complaint,category
131,I would like to report that unexpected fee on bill.,Billing & Payment
132,I need assistance because account is locked Please provide a solution.,Account & Login
133,I am facing this problem: received a different product Can you investigate this?,Product Issue
134,I would like to report that payment deducted but still pending Please look into it.,Billing & Payment
135,I need assistance because unable to verify account I need assistance with this.,Account & Login
136,Customer support needed: product stopped working quickly Kindly help me resolve the issue.,Product Issue
137,I need assistance because payment failed despite sufficient balance Can you investigate this?,Billing & Payment
138,Can you help? package says delivered but was not received I need assistance with this.,Delivery
139,"Please help, requested refund but have not received it.",Refund
140,I need assistance because item arrived with missing parts Please look into it.,Product Issue
141,I want to report that product arrived damaged Kindly help me resolve the issue.,Product Issue
142,I need assistance because getting an error message Can you investigate this?,Technical Issue
143,"Please help, account details will not update Kindly help me resolve the issue.",Account & Login
144,I am facing this problem: delivery marked unsuccessful while I was available I need assistance with this.,Delivery
145,requested cancellation but order is still active Can you investigate this?,Cancellation
146,product has a defect Please provide a solution.,Product Issue
147,I would like to report that received the wrong package This needs to be fixed.,Delivery
148,need to cancel before shipping Can you check this for me?,Cancellation
149,I want to report that product stopped working quickly Kindly help me resolve the issue.,Product Issue
150,Could you resolve this: item does not work as described Please resolve this.,Product Issue
151,Customer support needed: item arrived with missing parts Please look into it.,Product Issue
152,My issue is that product has visible damage I would appreciate your help.,Product Issue
153,Customer support needed: order has not been delivered.,Delivery
154,delivery address was not followed I would appreciate your help.,Delivery
155,I want to report that received the wrong package Please resolve this.,Delivery
156,I want to report that need general information before ordering Please look into it.,General Inquiry
157,I want to report that want to check refund status.,Refund
158,I am facing this problem: cannot upload a file Can you check this for me?,Technical Issue
159,I would like to report that package is stuck with courier.,Delivery
160,I want to report that unexpected fee on bill.,Billing & Payment
161,I am facing this problem: application keeps crashing.,Technical Issue
162,Could you resolve this: item arrived with missing parts I would appreciate your help.,Product Issue
163,cancelled order money was not returned Please provide a solution.,Refund
164,Could you resolve this: item arrived broken Can you investigate this?,Product Issue
165,Could you resolve this: page keeps refreshing.,Technical Issue
166,how can I cancel my purchase Can you investigate this?,Cancellation
167,I need assistance because refunded amount is incorrect Can you check this for me?,Refund
168,Can you help? charged a different amount This needs to be fixed.,Billing & Payment
169,"Please help, courier has not contacted me Please provide a solution.",Delivery
170,I want to report that want to change registered email Please resolve this.,Account & Login
171,"Please help, need help with pending refund Please look into it.",Refund
172,My issue is that screen is displaying incorrectly I would appreciate your help.,Technical Issue
173,I want to report that getting an error message Can you investigate this?,Technical Issue
174,I am facing this problem: want to know support hours Can you check this for me?,General Inquiry
175,My issue is that package is stuck with courier.,Delivery
176,want to change registered email Please resolve this.,Account & Login
177,My issue is that app freezes during checkout Please provide a solution.,Technical Issue
178,I need assistance because have a question about features I would appreciate your help.,General Inquiry
179,I want to report that page keeps refreshing.,Technical Issue
180,I am facing this problem: want to know when package will arrive I would appreciate your help.,Delivery
181,Can you help? want more information about the product Please resolve this.,General Inquiry
182,I would like to report that delivery marked unsuccessful while I was available Can you investigate this?,Delivery
183,I need assistance because application keeps crashing.,Technical Issue
184,Can you help? want to change registered email This needs to be fixed.,Account & Login
185,I am facing this problem: want to find terms and conditions I need assistance with this.,General Inquiry
186,I want to report that cancellation option is not working Please provide a solution.,Cancellation
187,item arrived broken I need assistance with this.,Product Issue
188,My issue is that promised refund has not arrived Can you investigate this?,Refund
189,application is extremely slow Please resolve this.,Technical Issue
190,password reset email is not arriving I need assistance with this.,Account & Login
191,I want to report that tracking has not updated Please provide a solution.,Delivery
192,Can you help? product has visible damage I would appreciate your help.,Product Issue
193,Can you help? want to check refund status Kindly help me resolve the issue.,Refund
194,"Please help, want to find terms and conditions Can you investigate this?",General Inquiry
195,Can you help? want to stop recurring subscription.,Cancellation
196,I would like to report that want to check refund status.,Refund
197,I want to report that product arrived damaged.,Product Issue
198,I am facing this problem: incorrect invoice charge Can you check this for me?,Billing & Payment
199,Can you help? application keeps crashing.,Technical Issue
200,I am facing this problem: need to cancel before shipping Can you check this for me?,Cancellation
201,Customer support needed: account is locked Can you check this for me?,Account & Login
202,I am facing this problem: want more information about the product Please resolve this.,General Inquiry
203,Could you resolve this: delivery marked unsuccessful while I was available Can you investigate this?,Delivery
204,I want to report that refund is missing from bank account Please look into it.,Refund
205,I am facing this problem: verification code is not working Please provide a solution.,Account & Login
206,Could you resolve this: product has visible damage Please look into it.,Product Issue
207,Can you help? delivery marked unsuccessful while I was available Can you investigate this?,Delivery
208,I am facing this problem: accidentally placed order and want to cancel I would appreciate your help.,Cancellation
209,I would like to report that want to stop recurring subscription.,Cancellation
210,I need assistance because need help cancelling service Please look into it.,Cancellation
211,"Please help, cannot access account from a new device Please look into it.",Account & Login
212,I want to report that need information about my order Can you investigate this?,General Inquiry
213,"Please help, need information about my order Can you investigate this?",General Inquiry
214,page keeps refreshing Kindly help me resolve the issue.,Technical Issue
215,My issue is that requested refund but have not received it Kindly help me resolve the issue.,Refund
216,Could you resolve this: delivery address was not followed Please look into it.,Delivery
217,Could you resolve this: received only part of the refund Can you investigate this?,Refund
218,"Please help, requested cancellation but order is still active I need assistance with this.",Cancellation
219,Can you help? refund is still pending Please resolve this.,Refund
220,I am facing this problem: unclear charge on invoice Can you check this for me?,Billing & Payment
221,I am facing this problem: screen is displaying incorrectly Please look into it.,Technical Issue
222,I would like to report that a feature is not working Please look into it.,Technical Issue
223,I need assistance because payment will not go through I need assistance with this.,Billing & Payment
224,want an explanation of service options.,General Inquiry
225,"Please help, want to cancel booking This needs to be fixed.",Cancellation
226,"Please help, want to change registered email This needs to be fixed.",Account & Login
227,Customer support needed: wrong amount charged.,Billing & Payment
228,Can you help? product stopped working quickly Kindly help me resolve the issue.,Product Issue
229,I would like to report that want more information about the product Please resolve this.,General Inquiry
230,I want to report that account details will not update.,Account & Login
231,I want to report that courier has not contacted me Please provide a solution.,Delivery
232,Could you resolve this: want to know available plans Please resolve this.,General Inquiry
233,Can you help? delivery address was not followed I would appreciate your help.,Delivery
234,I want to report that cancelled order money was not returned Please provide a solution.,Refund
235,"Please help, product arrived damaged.",Product Issue
236,Could you resolve this: need help cancelling service Please look into it.,Cancellation
237,screen is displaying incorrectly I would appreciate your help.,Technical Issue
238,Can you help? cancelled order money was not returned Can you check this for me?,Refund
239,Can you help? want to cancel subscription Please resolve this.,Cancellation
240,Can you help? received only part of the refund I need assistance with this.,Refund
241,Customer support needed: wrong amount charged Kindly help me resolve the issue.,Billing & Payment
242,"Please help, payment deducted but still pending I would appreciate your help.",Billing & Payment
243,Customer support needed: payment failed despite sufficient balance I need assistance with this.,Billing & Payment
244,I would like to report that want to cancel order Kindly help me resolve the issue.,Cancellation
245,Could you resolve this: cannot log in Kindly help me resolve the issue.,Account & Login
246,Customer support needed: promised refund has not arrived I need assistance with this.,Refund
247,"Please help, want an explanation of service options Kindly help me resolve the issue.",General Inquiry
248,I want to report that want to know available plans This needs to be fixed.,General Inquiry
249,service stopped working after an update I need assistance with this.,Technical Issue
250,I want to report that want more information about the product Please resolve this.,General Inquiry
251,payment will not go through I need assistance with this.,Billing & Payment
252,Can you help? tracking has not updated Can you check this for me?,Delivery
253,I want to report that product has visible damage I would appreciate your help.,Product Issue
254,"Please help, delivery address was not followed Please look into it.",Delivery
255,accidentally placed order and want to cancel I would appreciate your help.,Cancellation
256,login credentials are rejected I would appreciate your help.,Account & Login
257,"Please help, how does the service work Please provide a solution.",General Inquiry
258,Could you resolve this: have a question about features I would appreciate your help.,General Inquiry
259,I am facing this problem: account is locked Please provide a solution.,Account & Login
260,tracking has not updated Please provide a solution.,Delivery
261,I need assistance because item does not work as described Please resolve this.,Product Issue
262,Could you resolve this: want to cancel order.,Cancellation
263,Can you help? have a question about features Please look into it.,General Inquiry
264,I am facing this problem: order has not been delivered Kindly help me resolve the issue.,Delivery
265,Could you resolve this: getting an error message Can you investigate this?,Technical Issue
266,Customer support needed: account details will not update.,Account & Login
267,My issue is that want to cancel booking This needs to be fixed.,Cancellation
268,I want to report that payment will not go through I need assistance with this.,Billing & Payment
269,I am facing this problem: website is not loading properly This needs to be fixed.,Technical Issue
270,I want to report that refund was processed for wrong amount This needs to be fixed.,Refund
271,Customer support needed: package is stuck with courier Kindly help me resolve the issue.,Delivery
272,I need assistance because tracking has not updated Please provide a solution.,Delivery
273,Could you resolve this: cannot access account from a new device Please look into it.,Account & Login
274,Could you resolve this: service stopped working after an update Can you investigate this?,Technical Issue
275,Could you resolve this: promised refund has not arrived Can you investigate this?,Refund
276,I need assistance because product quality is poor Please resolve this.,Product Issue
277,I want to report that incorrect invoice charge Please provide a solution.,Billing & Payment
278,I want to report that promised refund has not arrived I need assistance with this.,Refund
279,I would like to report that page keeps refreshing Kindly help me resolve the issue.,Technical Issue
280,cannot access account from a new device I would appreciate your help.,Account & Login
281,I need assistance because charged twice for the same payment This needs to be fixed.,Billing & Payment
282,Can you help? unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
283,My issue is that want an explanation of service options Kindly help me resolve the issue.,General Inquiry
284,Can you help? unable to verify account Can you investigate this?,Account & Login
285,"Please help, tracking has not updated Can you check this for me?",Delivery
286,"Please help, received only part of the refund Can you investigate this?",Refund
287,Could you resolve this: refund is still pending Please resolve this.,Refund
288,incorrect billing information I would appreciate your help.,Billing & Payment
289,I am facing this problem: want to cancel booking This needs to be fixed.,Cancellation
290,I want to report that requested refund but have not received it Kindly help me resolve the issue.,Refund
291,Could you resolve this: requested cancellation but order is still active I need assistance with this.,Cancellation
292,"Please help, requested refund but have not received it Kindly help me resolve the issue.",Refund
293,I need assistance because requested refund but have not received it.,Refund
294,"Please help, application keeps crashing Kindly help me resolve the issue.",Technical Issue
295,I would like to report that have a question about features I would appreciate your help.,General Inquiry
296,Can you help? received a different product I need assistance with this.,Product Issue
297,"Please help, want to know when package will arrive I would appreciate your help.",Delivery
298,I need assistance because item arrived broken Can you investigate this?,Product Issue
299,Could you resolve this: received only part of the refund I need assistance with this.,Refund
300,My issue is that application keeps crashing.,Technical Issue
301,Customer support needed: refund is missing from bank account Please look into it.,Refund
302,Customer support needed: unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
303,"Please help, screen is displaying incorrectly Please look into it.",Technical Issue
304,I am facing this problem: cancelled order money was not returned Can you check this for me?,Refund
305,I want to report that forgot password and cannot reset it This needs to be fixed.,Account & Login
306,Could you resolve this: incorrect invoice charge Please provide a solution.,Billing & Payment
307,Customer support needed: want to cancel booking This needs to be fixed.,Cancellation
308,Could you resolve this: account is locked Can you check this for me?,Account & Login
309,I am facing this problem: unable to verify account Can you investigate this?,Account & Login
310,"Please help, requested cancellation but order is still active Can you investigate this?",Cancellation
311,I am facing this problem: payment deducted but still pending Please look into it.,Billing & Payment
312,Can you help? product quality is poor Please resolve this.,Product Issue
313,My issue is that want more information about the product This needs to be fixed.,General Inquiry
314,I need assistance because product arrived damaged.,Product Issue
315,My issue is that incorrect billing information Please look into it.,Billing & Payment
316,website is not loading properly Please resolve this.,Technical Issue
317,Customer support needed: service stopped working after an update Can you investigate this?,Technical Issue
318,I would like to report that want to change registered email Please resolve this.,Account & Login
319,I would like to report that want to know when package will arrive I would appreciate your help.,Delivery
320,I need assistance because password reset email is not arriving I need assistance with this.,Account & Login
321,I am facing this problem: getting an error message Can you investigate this?,Technical Issue
322,Can you help? verification code is not working Please provide a solution.,Account & Login
323,I am facing this problem: product quality is poor Please resolve this.,Product Issue
324,My issue is that payment will not go through I need assistance with this.,Billing & Payment
325,I am facing this problem: login credentials are rejected I would appreciate your help.,Account & Login
326,I would like to report that delivery address was not followed I would appreciate your help.,Delivery
327,I need assistance because page keeps refreshing Kindly help me resolve the issue.,Technical Issue
328,I would like to report that item arrived with missing parts Please look into it.,Product Issue
329,I would like to report that refund is still pending Please resolve this.,Refund
330,Customer support needed: want to cancel subscription Please resolve this.,Cancellation
331,I would like to report that refunded amount is incorrect Please provide a solution.,Refund
332,I want to report that incorrect invoice charge Can you check this for me?,Billing & Payment
333,"Please help, received the wrong package Please resolve this.",Delivery
334,I want to report that website is not loading properly This needs to be fixed.,Technical Issue
335,Could you resolve this: refund was processed for wrong amount Please resolve this.,Refund
336,"Please help, refund is still pending This needs to be fixed.",Refund
337,My issue is that payment deducted but still pending I would appreciate your help.,Billing & Payment
338,I am facing this problem: want to cancel subscription This needs to be fixed.,Cancellation
339,I need assistance because unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
340,Could you resolve this: a feature is not working I would appreciate your help.,Technical Issue
341,Could you resolve this: login credentials are rejected I would appreciate your help.,Account & Login
342,I am facing this problem: forgot password and cannot reset it This needs to be fixed.,Account & Login
343,I want to report that want an explanation of service options.,General Inquiry
344,product has visible damage Please look into it.,Product Issue
345,package is stuck with courier Kindly help me resolve the issue.,Delivery
346,Customer support needed: charged twice for the same payment Please resolve this.,Billing & Payment
347,I am facing this problem: product has a defect Please provide a solution.,Product Issue
348,app freezes during checkout Can you check this for me?,Technical Issue
349,want to cancel subscription This needs to be fixed.,Cancellation
350,I would like to report that a feature is not working I would appreciate your help.,Technical Issue
351,Customer support needed: promised refund has not arrived Can you investigate this?,Refund
352,Can you help? refunded amount is incorrect Please provide a solution.,Refund
353,I would like to report that delivery marked unsuccessful while I was available I need assistance with this.,Delivery
354,"Please help, unclear charge on invoice Please provide a solution.",Billing & Payment
355,I am facing this problem: want to stop recurring subscription.,Cancellation
356,I am facing this problem: refund was processed for wrong amount Please resolve this.,Refund
357,I need assistance because service stopped working after an update I need assistance with this.,Technical Issue
358,Can you help? want more information about the product This needs to be fixed.,General Inquiry
359,I need assistance because cannot access account from a new device Please look into it.,Account & Login
360,Customer support needed: want to know support hours Please provide a solution.,General Inquiry
361,need help cancelling service Please look into it.,Cancellation
362,specifications do not match listing Please provide a solution.,Product Issue
363,My issue is that website is not loading properly This needs to be fixed.,Technical Issue
364,I would like to report that requested refund but have not received it Kindly help me resolve the issue.,Refund
365,"Please help, account is locked Can you check this for me?",Account & Login
366,Could you resolve this: charged a different amount Please resolve this.,Billing & Payment
367,Can you help? courier has not contacted me Please provide a solution.,Delivery
368,I need assistance because login credentials are rejected I would appreciate your help.,Account & Login
369,"Please help, refund is still pending Please resolve this.",Refund
370,Can you help? unable to verify account I need assistance with this.,Account & Login
371,package is stuck with courier.,Delivery
372,I am facing this problem: need help with pending refund I would appreciate your help.,Refund
373,Could you resolve this: requested cancellation but order is still active Can you investigate this?,Cancellation
374,Customer support needed: item arrived broken Can you investigate this?,Product Issue
375,payment deducted but still pending Please look into it.,Billing & Payment
376,Can you help? product quality is poor This needs to be fixed.,Product Issue
377,I would like to report that courier has not contacted me Can you check this for me?,Delivery
378,My issue is that item does not work as described Please resolve this.,Product Issue
379,Could you resolve this: delivery is later than promised This needs to be fixed.,Delivery
380,My issue is that accidentally placed order and want to cancel I would appreciate your help.,Cancellation
381,My issue is that want to know available plans Please resolve this.,General Inquiry
382,Can you help? want to know when package will arrive Please look into it.,Delivery
383,Customer support needed: delivery is later than promised This needs to be fixed.,Delivery
384,I want to report that cannot upload a file Can you check this for me?,Technical Issue
385,Customer support needed: cancelled order money was not returned Please provide a solution.,Refund
386,I would like to report that need information about services.,General Inquiry
387,I am facing this problem: login credentials are rejected Please look into it.,Account & Login
388,"Please help, refunded amount is incorrect Can you check this for me?",Refund
389,Customer support needed: password reset email is not arriving Can you investigate this?,Account & Login
390,Could you resolve this: how can I cancel my purchase Can you investigate this?,Cancellation
391,I need assistance because verification code is not working Can you check this for me?,Account & Login
392,screen is displaying incorrectly Please look into it.,Technical Issue
393,I want to report that accidentally placed order and want to cancel Please look into it.,Cancellation
394,I am facing this problem: want more information about the product This needs to be fixed.,General Inquiry
395,Could you resolve this: want to know available plans This needs to be fixed.,General Inquiry
396,cannot upload a file Please provide a solution.,Technical Issue
397,I want to report that payment deducted but still pending Please look into it.,Billing & Payment
398,application keeps crashing.,Technical Issue
399,I need assistance because payment deducted but still pending I would appreciate your help.,Billing & Payment
400,want to check refund status.,Refund
401,I would like to report that product stopped working quickly Kindly help me resolve the issue.,Product Issue
402,I need assistance because item arrived with missing parts I would appreciate your help.,Product Issue
403,My issue is that want to find terms and conditions Can you investigate this?,General Inquiry
404,Customer support needed: charged a different amount Please resolve this.,Billing & Payment
405,I am facing this problem: payment will not go through Can you investigate this?,Billing & Payment
406,delivery is later than promised Please resolve this.,Delivery
407,I need assistance because promised refund has not arrived Can you investigate this?,Refund
408,"Please help, want to change registered email Please resolve this.",Account & Login
409,My issue is that want to cancel subscription This needs to be fixed.,Cancellation
410,Could you resolve this: charged twice for the same payment Please resolve this.,Billing & Payment
411,Could you resolve this: promised refund has not arrived I need assistance with this.,Refund
412,I would like to report that payment failed despite sufficient balance I need assistance with this.,Billing & Payment
413,I need assistance because want more information about the product This needs to be fixed.,General Inquiry
414,I am facing this problem: specifications do not match listing Can you check this for me?,Product Issue
415,Can you help? unclear charge on invoice Please provide a solution.,Billing & Payment
416,I need assistance because received only part of the refund I need assistance with this.,Refund
417,I would like to report that need information about my order Can you investigate this?,General Inquiry
418,My issue is that delivery is later than promised Please resolve this.,Delivery
419,Customer support needed: cancelled order money was not returned Can you check this for me?,Refund
420,I want to report that verification code is not working Can you check this for me?,Account & Login
421,I am facing this problem: received the wrong package Please resolve this.,Delivery
422,I am facing this problem: password reset email is not arriving Can you investigate this?,Account & Login
423,I would like to report that promised refund has not arrived I need assistance with this.,Refund
424,"Please help, need help cancelling service I would appreciate your help.",Cancellation
425,Customer support needed: account details will not update Kindly help me resolve the issue.,Account & Login
426,I need assistance because want to know when package will arrive Please look into it.,Delivery
427,I would like to report that want to find terms and conditions I need assistance with this.,General Inquiry
428,My issue is that unclear charge on invoice Can you check this for me?,Billing & Payment
429,I would like to report that want an explanation of service options.,General Inquiry
430,I want to report that want to change registered email This needs to be fixed.,Account & Login
431,I want to report that need information about my order I need assistance with this.,General Inquiry
432,Customer support needed: charged twice for the same payment This needs to be fixed.,Billing & Payment
433,Can you help? how can I cancel my purchase I need assistance with this.,Cancellation
434,promised refund has not arrived I need assistance with this.,Refund
435,Customer support needed: received only part of the refund Can you investigate this?,Refund
436,I need assistance because login credentials are rejected Please look into it.,Account & Login
437,"Please help, refund is missing from bank account Please look into it.",Refund
438,received only part of the refund I need assistance with this.,Refund
439,received the wrong package Please resolve this.,Delivery
440,Can you help? account details will not update.,Account & Login
441,I am facing this problem: incorrect billing information I would appreciate your help.,Billing & Payment
442,need help with pending refund I would appreciate your help.,Refund
443,I want to report that password reset email is not arriving I need assistance with this.,Account & Login
444,Customer support needed: application is extremely slow Please resolve this.,Technical Issue
445,"Please help, product has visible damage I would appreciate your help.",Product Issue
446,Could you resolve this: payment failed despite sufficient balance I need assistance with this.,Billing & Payment
447,Customer support needed: want to cancel subscription This needs to be fixed.,Cancellation
448,Could you resolve this: need help cancelling service I would appreciate your help.,Cancellation
449,Customer support needed: login credentials are rejected I would appreciate your help.,Account & Login
450,Can you help? getting an error message I need assistance with this.,Technical Issue
451,I am facing this problem: courier has not contacted me Please provide a solution.,Delivery
452,I want to report that getting an error message I need assistance with this.,Technical Issue
453,I would like to report that promised refund has not arrived Can you investigate this?,Refund
454,I would like to report that have a question about features Please look into it.,General Inquiry
455,product arrived damaged.,Product Issue
456,tracking has not updated Can you check this for me?,Delivery
457,Could you resolve this: charged twice for the same payment This needs to be fixed.,Billing & Payment
458,I need assistance because cancelled order money was not returned Please provide a solution.,Refund
459,want to know available plans This needs to be fixed.,General Inquiry
460,I would like to report that requested cancellation but order is still active I need assistance with this.,Cancellation
461,Can you help? want to find terms and conditions I need assistance with this.,General Inquiry
462,Could you resolve this: forgot password and cannot reset it Please resolve this.,Account & Login
463,I need assistance because want to change registered email Please resolve this.,Account & Login
464,Could you resolve this: need information about my order I need assistance with this.,General Inquiry
465,I need assistance because how can I cancel my purchase I need assistance with this.,Cancellation
466,I want to report that package says delivered but was not received I need assistance with this.,Delivery
